Category,Primary Completion (%),Lower Secondary Completion (%),Upper Secondary Completion (%),Primary incomplete Headcount,Lower Secondary incomplete Headcount,Upper Secondary incomplete Headcount
Total,71,47,35,526500,920700,1104800
Male,69,45,35,288600,505500,531700
Female,73,50,34,238000,415200,573200
Urban,79,61,47,167300,309400,444500
Rural,65,36,22,359200,611400,660400
Poorest,52,23,9,179800,271100,242200
Second,65,27,19,140700,264800,264700
Middle,75,47,28,93700,202700,260400
Fourth,81,65,39,71900,124600,233600
Richest,86,81,71,40600,57700,104000
Akan,79,58,42,176700,338200,440200
Ga/Damgme,74,52,41,39800,67500,88100
Ewe,68,45,29,58000,117300,135100
Guan,67,30,19,26200,59400,42800
Gruma,53,26,26,39700,50600,53800
Mole Dagbani,59,32,28,118000,163300,202800
Grusi,54,38,22,24500,25100,32400
Mande,72,50,9,3000,7100,2800
Other,69,37,26,40900,92600,107200
Western,74,45,30,45700,91700,120600
Central,76,47,29,45800,88800,107200
Greater Accra,77,66,58,34800,61700,94800
Volta,63,30,15,51700,115900,109100
Eastern,74,54,33,54500,111900,132800
Ashanti,79,59,39,93400,157200,246200
Brong Ahafo,68,45,34,55500,92200,108000
Northern,54,29,26,92000,124800,119300
Upper East,55,31,22,30300,38200,41000
Upper West,53,15,29,23200,38600,26300